date,type,category,amount
2024-09-13,credit,investments returns,2599.02
2025-03-02,credit,gambling,3889.2
2024-12-01,debit,education,2569.15
2024-10-14,debit,personal,470.89
2025-04-19,debit,gambling,4211.47
2025-04-17,credit,bank transfer,1836.23
2024-12-14,debit,medical,2672.91
2024-12-08,credit,government benefits,1396.81
2024-08-07,debit,gambling,2218.88
2025-01-17,debit,finance,497.11
2025-01-27,credit,gambling,987.67
2024-05-26,debit,gambling,3920.32
2024-07-22,credit,salary,4003.71
2024-05-27,credit,government benefits,4199.74
2024-11-03,credit,bank transfer,2240.87
2024-10-21,debit,finance,709.08
2024-11-26,credit,government benefits,2119.45
2024-08-29,debit,medical,4835.36
2025-01-14,credit,salary,3032.68
2025-01-06,credit,government benefits,4208.01
2024-08-22,debit,medical,4299.53
2025-04-06,credit,gambling,2130.52
2024-12-21,debit,personal,3990.95
2024-08-18,debit,finance,4424.38
2024-08-05,credit,government benefits,2192.45
2025-01-14,credit,gambling,4899.1
2024-08-23,debit,personal,278.44
2024-07-24,credit,government benefits,1663.27
2025-01-12,debit,shopping,3533.12
2024-05-15,credit,refunds,3643.77
2025-05-07,credit,government benefits,2660.87
2025-05-01,debit,personal,2097.6
2024-06-20,debit,personal,3773.12
2024-05-28,debit,medical,4284.55
2024-08-27,debit,personal,2197.73
2024-07-11,debit,gambling,997.04
2025-04-04,credit,refunds,1301.9
2024-12-19,credit,salary,3826.12
2025-03-20,credit,investments returns,560.09
2025-04-06,credit,refunds,4502.65
2025-01-26,credit,gambling,2468.61
2025-01-15,credit,government benefits,2559.71
2024-06-20,debit,medical,2266.87
2024-10-01,debit,medical,2825.54
2025-04-09,credit,government benefits,3438.18
2024-05-26,debit,finance,1506.58
2024-09-21,debit,gambling,1197.49
2025-04-07,credit,refunds,3730.79
2024-06-14,credit,government benefits,470.01
2024-08-09,credit,refunds,3326.4
2024-07-01,credit,investments returns,532.67
2025-01-27,credit,gambling,4287.31
2025-03-24,credit,salary,3753.77
2024-09-23,credit,refunds,3632.04
2025-04-03,debit,education,2882.19
2024-09-11,credit,government benefits,759.78
2025-03-28,credit,bank transfer,3712.24
2024-11-09,credit,gambling,3087.26
2024-09-19,debit,personal,3362.09
2024-10-30,credit,salary,4749.06
2024-10-31,debit,gambling,3698.81
2024-12-31,credit,gambling,4834.02
2024-05-22,debit,education,4749.69
2024-07-26,debit,finance,457.77
2025-04-02,debit,shopping,2684.3
2024-08-02,debit,personal,582.14
2024-05-12,debit,medical,4005.05
2025-03-18,credit,salary,2480.99
2025-01-18,debit,shopping,2351.27
2025-04-01,debit,shopping,1422.99
2024-09-15,debit,education,2337.41
2024-09-05,credit,refunds,4574.69
2024-07-02,debit,finance,3796.53
2025-04-20,debit,education,3846.91
2025-01-17,credit,bank transfer,530.77
2025-03-30,debit,finance,1890.95
2025-02-16,credit,gambling,4663.42
2024-09-19,debit,shopping,4785.37
2025-05-05,credit,government benefits,4054.01
2024-06-26,credit,government benefits,1046.53
2024-10-19,credit,bank transfer,1518.55
2025-05-05,credit,salary,62.93
2024-11-04,debit,gambling,2869.95
2024-07-15,credit,bank transfer,3256.88
2025-01-22,credit,investments returns,3284.59
2025-03-01,debit,personal,3091.01
2024-05-08,credit,gambling,131.8
2025-03-10,credit,government benefits,2800.31
2024-06-14,debit,finance,2106.51
2024-11-07,debit,shopping,1393.52
2025-02-15,credit,refunds,613.79
2024-10-27,credit,investments returns,2198.56
2024-12-29,debit,gambling,216.38
2024-07-14,credit,bank transfer,1427.45
2024-09-22,debit,finance,65.93
2025-03-14,credit,gambling,4975.44
2024-12-11,credit,gambling,1540.1
2024-11-29,debit,finance,2374.36
2024-05-30,debit,education,1566.57
2025-04-30,debit,medical,2092.42
2025-04-18,debit,gambling,134.56
2024-12-16,debit,finance,3950.8
2024-07-29,debit,personal,1161.86
2024-07-16,credit,investments returns,403.03
2024-10-30,debit,education,3826.02
2024-10-09,debit,personal,1862.26
2024-08-19,credit,bank transfer,2844.89
2024-07-27,credit,government benefits,351.06
2024-11-24,credit,refunds,308.6
2024-05-19,debit,finance,1022.4
2024-07-01,debit,shopping,4510.61
2025-02-11,credit,bank transfer,1262.6
2025-01-13,debit,education,1415.52
2024-06-08,credit,refunds,3705.43
2025-03-07,credit,bank transfer,3673.31
2025-04-22,credit,gambling,3977.66
2024-05-24,credit,government benefits,4698.09
2024-12-09,credit,gambling,4520.03
2024-09-19,debit,medical,3356.65
2025-04-08,debit,shopping,4960.02
2024-10-20,debit,personal,3917.83
2024-05-19,debit,medical,2939.08
2024-10-01,debit,gambling,3891.64
2025-03-15,debit,personal,694.47
2025-04-14,credit,refunds,581.21
2025-04-30,credit,salary,317.65
2024-07-10,credit,gambling,471.92
2024-10-31,credit,bank transfer,1054.71
2024-05-18,credit,investments returns,43.87
2025-04-26,debit,personal,3384.21
2025-04-23,credit,gambling,1363.69
2024-06-08,credit,salary,4885.62
2025-04-18,credit,gambling,1786.21
2024-10-29,credit,salary,4037.98
2024-05-28,credit,investments returns,4126.94
2024-10-01,credit,gambling,666.99
2025-03-26,credit,gambling,2929.68
2025-03-25,credit,refunds,4315.52
2024-06-02,debit,personal,4629.46
2025-05-04,credit,investments returns,1860.4
2024-07-11,credit,refunds,3827.88
2024-06-14,debit,gambling,4624.34
2025-04-03,credit,government benefits,975.5
2025-05-05,credit,investments returns,3904.49
2024-09-25,credit,salary,4516.05
2024-08-23,debit,shopping,1201.57
2024-09-02,debit,personal,1721.7
2024-07-11,credit,gambling,310.76
2024-07-21,credit,gambling,1501.59
2024-12-29,credit,government benefits,3872.78
2024-06-01,debit,education,4052.94
2025-02-15,credit,bank transfer,3819.04
2024-08-24,debit,education,1121.06
2024-06-05,debit,shopping,4621.16
2024-07-17,credit,gambling,68.42
2024-10-27,credit,bank transfer,4508.25
2024-10-07,credit,government benefits,1030.05
2024-08-09,credit,government benefits,1741.6
2025-03-14,credit,salary,915.96
2024-07-24,credit,bank transfer,4830.35
2025-04-16,debit,gambling,2565.15
2024-07-17,debit,education,2004.57
2024-07-07,debit,shopping,371.96
2024-06-27,debit,education,3344.68
2024-12-20,credit,salary,4158.76
2024-05-15,credit,salary,3487.94
2024-11-13,debit,education,846.81
2024-08-27,credit,government benefits,4324.13
2024-07-11,debit,finance,2095.32
2024-07-22,credit,bank transfer,353.08
2024-09-25,debit,medical,296.75
2024-07-22,debit,gambling,108.91
2024-09-20,credit,bank transfer,4661.36
2024-09-14,debit,medical,2275.46
2024-10-24,debit,finance,3084.56
2025-04-03,credit,refunds,545.28
2025-04-17,debit,medical,2677.51
2024-06-19,credit,bank transfer,3051.58
2024-07-24,debit,shopping,2428.09
2024-11-26,debit,education,3735.28
2025-01-16,credit,government benefits,240.6
2025-03-18,credit,salary,2968.11
2024-06-06,debit,shopping,3387.55
2024-08-23,credit,refunds,2536.7
2025-02-23,credit,refunds,4716.53
2024-06-01,credit,investments returns,3936.66
2025-01-16,debit,shopping,846.91
2024-09-01,credit,refunds,2293.33
2024-10-30,credit,government benefits,1862.62
2025-05-01,credit,investments returns,3032.87
2024-09-17,credit,salary,4604.41
2025-04-11,credit,government benefits,3896.96
2025-01-05,credit,bank transfer,4986.26
2024-12-14,credit,salary,3556.85
2024-06-21,debit,shopping,4977.32
2024-09-12,credit,refunds,1876.43
2024-09-01,credit,investments returns,4157.89
2024-08-16,debit,shopping,2985.07
2025-01-07,credit,government benefits,2840.7
2024-05-22,credit,investments returns,1345.61
2024-09-12,credit,government benefits,3312.37
2025-04-10,credit,gambling,524.65
2025-04-23,debit,gambling,1124.32
2024-08-27,credit,investments returns,4220.27
2025-01-15,credit,investments returns,1582.6
2025-03-19,debit,medical,4119.37
2024-07-01,debit,medical,1219.28
2024-08-20,credit,salary,4190.87
2025-04-01,credit,salary,3876.9
2024-09-10,credit,investments returns,2611.49
2024-07-02,debit,gambling,2824.54
2024-07-19,debit,shopping,2804.97
2024-06-11,debit,education,4783.96
2024-10-07,debit,education,3703.02
2024-08-31,debit,finance,1790.11
2025-01-19,credit,gambling,4510.69
2025-04-18,credit,government benefits,2007.95
2025-01-24,credit,salary,4902.52
2024-05-29,debit,personal,4729.13
2024-07-08,credit,bank transfer,1211.17
2024-07-19,credit,government benefits,3891.35
2024-06-01,debit,personal,2303.87
2024-11-20,credit,investments returns,1742.81
2024-11-23,credit,investments returns,1533.58
2024-12-08,debit,shopping,196.02
2025-03-02,credit,bank transfer,2800.24
2025-02-10,credit,bank transfer,3899.27
2025-01-25,credit,salary,3140.0
